00:00,0.17,2.25,शो मोर
00:02,2.42,3.09,[संगीत]
00:09,9.49,5.39,कि फ्रंट जा अपने ही रंग तू तू
00:15,14.88,7.67,कि हो जहां अपने ही संधू ए
00:23,22.74,7.58,कि अ
00:30,30.32,6.96,एक व्यक्ति जहां अपने ही रंग तू हो जहां
00:37,37.28,9.45,अपने हिसंक तू बना ले छोटी सी दुनिया आज
00:47,46.73,6.78,हम अक्षत मलंग पूज ा
00:54,53.51,8.09,मैं बोलूं बोलो
01:03,62.85,5.28,वसुंधरा बोलूं तुम क्यों
01:10,70.00,1.94,[संगीत]
01:12,71.94,10.15,लुट गई लुट गई लुट चुके भला रियल एस्टेट
01:22,82.09,4.40,और है कि मैं आप सब को खत्म कर देता है
01:28,87.89,5.36,को पटाने रखना चाहिए थी
01:36,96.34,3.56,चित्तौड़ फ्रेंड्स अपने
01:40,99.90,4.52,यह मंदिर अपने ही करते हों सब की सुनता
01:44,104.42,2.09,झाला
01:47,106.51,2.58,कर दो
01:49,109.09,2.64,लुट
01:52,111.73,8.94,कि यह लिया हाथों से सपने बुनता था जहां
02:01,120.67,5.01,मन अपने अतीत कर ले तू सबके सुनता था जहां
02:06,125.68,5.13,तू की टूटती सांसों से लड़का झापड़ साझा
02:11,130.81,4.32,लड़ाई झगड़ा तस्कर के किस्मत चुनता था
02:15,135.13,14.13,जहां बोले तन-मन झब्बू अंधाधुंध गति है पी
02:29,149.26,10.55,लूं सजाऊं बह बखूबी राधे मोहन झाला मत मन
02:40,159.81,2.54,गुय
02:42,162.35,3.02,लुट लो
02:45,165.37,4.61,[प्रशंसा]
02:50,169.98,4.30,[संगीत]
02:54,174.35,3.81,अजय को
02:58,178.16,3.33,अजय को
03:01,181.49,11.92,मैं बोलूं लुट और कुंठा
03:13,193.41,2.55,कर दो
03:16,195.96,2.78,कर दो
03:21,200.86,2.98,लुट लो
03:24,203.84,2.00,[संगीत]
03:26,205.84,3.12,हुआ है
03:29,208.96,7.88,कर दो
03:37,216.84,2.51,में आ
03:39,219.48,2.89,कर दो
03:42,222.37,17.03,कर दो
03:59,239.40,3.74,कर दो
04:03,243.14,2.69,कर दो
04:06,246.46,8.15,और सुनाओ
04:16,255.99,3.28,कर दो
04:19,259.27,41.09,है अबे ड्रॉ अंधेरे मेरा अ
05:00,300.36,1.80,कोट
05:02,302.16,3.72,[संगीत]
05:08,307.56,5.16,एक प्यारी सी
05:13,312.72,4.16,[संगीत]
05:17,316.88,1.78,अजय को
05:19,318.66,2.50,कर दो
05:21,321.16,10.89,कि लड़ जावे अपनी मीडियम कर तू ओम शंकर
05:32,332.05,8.93,दुबे सबको ह्रदय को बनाने छोटी सी दिनांक
05:41,340.98,3.82,को भेजें
05:45,344.80,2.96,पलंग दो
05:49,349.34,2.93,मैं बोलूं
05:53,352.80,4.79,कि जिंदगी लुटा
05:58,357.59,2.05,लुट
05:60,359.64,2.96,मैं बोलूं
06:05,364.83,4.43,है और लागू हुआ
06:09,369.26,3.11,[संगीत]
06:12,372.44,3.50,की मेज़
06:19,378.71,3.00,लुट
06:29,388.81,5.27,कर दो
06:34,394.08,3.38,कर दो
06:42,401.57,3.29,अजय को